,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,High Temperature,Wind Speed
0,Kapaa,40,US,1576547964,65,22.08,-159.32,84.2,20.8
1,Rikitea,100,PF,1576547964,84,-23.12,-134.97,74.28,20.89
2,Andros Town,75,BS,1576547710,88,24.7,-77.77,77.0,10.29
3,Vaini,90,TO,1576547965,74,-21.2,-175.2,82.4,10.29
4,Kaoma,0,ZM,1576547965,87,-14.78,24.8,63.81,2.91
5,Ushuaia,75,AR,1576547965,56,-54.8,-68.3,44.6,3.15
6,Paamiut,100,GL,1576547965,43,61.99,-49.67,39.49,16.64
7,Keetmanshoop,9,NA,1576547965,12,-26.58,18.13,80.6,10.29
8,Jamestown,90,US,1576547900,86,42.1,-79.24,30.99,5.82
9,Punta Arenas,90,CL,1576547966,87,-53.15,-70.92,46.4,5.82
10,Palana,98,RU,1576547966,88,59.12,159.97,9.59,3.44
11,Bluff,100,NZ,1576547966,71,-46.6,168.33,55.99,8.01
12,Tuktoyaktuk,5,CA,1576547966,74,69.45,-133.04,-23.8,7.54
13,Berlevag,100,NO,1576547967,94,70.86,29.09,36.63,15.17
14,Aklavik,5,CA,1576547967,67,68.22,-135.01,-22.0,4.7
15,Mezen,100,RU,1576547967,94,65.85,44.24,27.68,9.53
16,Butaritari,100,KI,1576547967,95,3.07,172.79,78.12,16.73
17,Cabo San Lucas,40,MX,1576547777,78,22.89,-109.91,73.99,10.29
18,Severo-Kurilsk,87,RU,1576547968,87,50.68,156.12,24.04,17.83
19,Galveston,90,US,1576547968,66,29.3,-94.8,54.0,14.99
20,Smithers,90,CA,1576547968,92,54.78,-127.17,23.0,3.78
21,Komarovo,90,RU,1576547968,86,60.18,29.82,37.4,6.71
22,Raychikhinsk,65,RU,1576547969,90,49.78,129.41,-5.71,10.83
23,Camana,100,PE,1576547969,80,-16.62,-72.71,60.01,2.89
24,Port Elizabeth,0,ZA,1576547969,87,-33.92,25.57,60.8,11.41
25,Huescar,100,ES,1576547970,92,37.81,-2.54,46.0,1.61
26,Pevek,100,RU,1576547970,99,69.7,170.31,-8.9,2.35
27,Chuy,18,UY,1576547970,88,-33.7,-53.46,61.05,3.24
28,Dauphin,75,CA,1576547970,84,51.15,-100.05,5.0,10.29
29,Bilibino,100,RU,1576547970,99,68.05,166.44,-14.76,2.24
30,Port Alfred,0,ZA,1576547971,81,-33.59,26.89,59.74,18.45
31,Bredasdorp,1,ZA,1576547971,87,-34.53,20.04,62.01,4.7
32,Tezu,48,IN,1576547971,80,27.92,96.17,62.62,2.64
33,Sao Joao da Barra,78,BR,1576547971,88,-21.64,-41.05,76.03,19.3
34,Busselton,12,AU,1576547971,20,-33.65,115.33,91.99,8.9
35,Hobart,20,AU,1576547861,43,-42.88,147.33,75.99,16.11
36,Tura,0,IN,1576547899,61,25.52,90.22,68.81,3.56
37,Panjab,12,AF,1576547973,73,34.39,67.02,2.91,4.03
38,Kropotkin,100,RU,1576547973,69,45.44,40.58,39.07,6.51
39,Upernavik,100,GL,1576547973,53,72.79,-56.15,9.75,7.7
40,Yulara,71,AU,1576547973,7,-25.24,130.99,102.2,12.75
41,Cairns,35,AU,1576547816,62,-16.92,145.77,91.0,8.05
42,Ulladulla,0,AU,1576547973,28,-35.35,150.47,77.0,5.82
43,Thompson,90,CA,1576547974,75,55.74,-97.86,-16.6,6.93
44,Hermanus,0,ZA,1576547974,81,-34.42,19.23,62.01,10.0
45,Puerto Ayora,69,EC,1576547974,90,-0.74,-90.35,72.0,4.0
46,Sao Gabriel da Cachoeira,99,BR,1576547974,92,-0.13,-67.09,73.83,0.25
47,Shelburne,20,CA,1576547974,85,44.08,-80.2,30.0,2.46
48,Ponta Delgada,75,PT,1576547974,72,37.73,-25.67,64.4,29.97
49,Lebu,11,CL,1576547974,73,-37.62,-73.65,52.84,8.46
50,Hilo,90,US,1576547975,83,19.73,-155.09,75.2,8.05
51,Saint-Pierre,1,RE,1576547813,69,-21.34,55.48,78.8,4.7
52,Provideniya,75,RU,1576547975,93,64.38,-173.3,32.0,13.42
53,Cape Town,10,ZA,1576547709,93,-33.93,18.42,62.01,3.36
54,General Pico,0,AR,1576547975,16,-35.66,-63.76,67.1,8.55
55,Los Llanos de Aridane,40,ES,1576547976,63,28.66,-17.92,63.0,4.7
56,Enid,90,US,1576547976,86,36.4,-97.88,28.99,11.41
57,Albany,1,US,1576547976,85,42.65,-73.76,26.01,2.13
58,Nome,1,US,1576547903,73,64.5,-165.41,23.0,3.06
59,Talnakh,75,RU,1576547977,83,69.49,88.4,-5.8,17.9
60,Avarua,83,CK,1576547977,69,-21.21,-159.78,78.8,18.34
61,Saldanha,67,ZA,1576547977,72,-33.01,17.94,59.0,4.7
62,Port Hardy,90,CA,1576547977,93,50.7,-127.42,41.0,21.92
63,Rudnogorsk,100,RU,1576547978,95,57.26,103.75,2.98,4.43
64,Pontes e Lacerda,75,BR,1576547862,83,-15.23,-59.34,74.71,2.93
65,Flinders,14,AU,1576547978,28,-34.58,150.86,81.0,5.82
66,Barrow,1,US,1576547702,85,71.29,-156.79,10.4,13.87
67,Evensk,0,RU,1576547978,73,61.95,159.23,-18.13,11.1
68,Mount Gambier,98,AU,1576547979,28,-37.83,140.77,86.0,4.7
69,Ust-Nera,100,RU,1576547979,100,64.57,143.2,-40.5,1.72
70,Inhambane,60,MZ,1576547979,75,-23.86,35.38,72.28,14.03
